Id,1,2,3,4,5,6,7
1,6.8,5.4,,,,,
2,4.71,4.2,,,,,
32,2.1,3.4,,,,,
40,5.35,5.85,,,,,
43,4.8,5.3,,,,,
46,4.45,3.7,,,,,
53,5.43,4.37,,,,,
60,3.95,3.75,7.0,6.9,4.7,,
61,4.85,3.5,,,,,
68,6.4,6.7,3.6,7.3,5.6,,
71,7.3,4.1,3.7,3.9,,,
74,3.95,5.35,,,,,
78,5.03,3.83,,,12.7,,
80,5.3,11.1,4.64,6.06,3.8,5.11,2.39
81,5.7,3.2,,,,4.7,
84,3.4,2.8,4.21,4.86,,,
85,6.2,4.3,,,5.87,4.6,
88,4.07,5.0,4.05,4.9,4.54,2.75,4.23
89,9.5,10.4,,,,,
92,5.7,5.9,,,,,
94,3.1,4.7,,,,,
95,5.6,5.9,,,3.48,2.7,2.06
97,3.1,4.8,4.8,6.25,10.7,4.71,4.24
100,4.6,6.5,,,,,
101,9.4,7.4,,,,,
104,2.7,3.3,,,,,
106,6.3,7.0,,,,,
113,4.3,3.3,9.59,9.16,8.14,2.68,5.47
115,3.57,4.1,,,,,
119,5.93,4.48,,,,,
123,4.0,4.8,,,,,
126,5.63,3.4,,,,,
127,4.12,2.58,,,6.49,,
129,2.9,4.2,,,,,
135,3.0,6.45,,,,,
136,5.6,2.58,,,,,
138,3.5,4.2,,,,,
139,3.4,4.35,4.1,5.2,4.9,4.4,4.2
140,9.4,5.2,2.6,6.5,,,3.8
144,4.4,5.9,,,,,
152,4.03,4.65,,,,,
155,6.9,6.5,2.4,2.62,4.23,2.43,2.8
156,0.62,0.63,,,,,
164,6.8,6.2,,,,,
167,7.57,5.0,,,,,
168,3.2,2.7,,,,3.5,4.9
175,4.8,5.1,3.4,3.7,3.3,3.2,3.3
177,9.8,7.9,,,,,
180,4.5,5.4,,,,,
182,6.8,6.4,,,,,
185,4.5,4.4,3.5,11.6,18.5,4.2,5.38
188,7.0,6.6,,,,,
189,4.5,3.9,,,,,13.0
190,4.2,6.2,,,,,
192,6.4,5.8,7.25,6.45,8.95,9.2,1.3
193,8.4,4.7,,,,,
195,3.45,3.57,,,,,
200,7.1,7.25,,,,,
206,5.8,6.6,1.75,5.3,15.1,4.6,15.6
209,3.68,4.85,,,,,
210,7.5,4.8,,,,,
215,8.0,6.8,,,,,
216,4.0,5.0,,,,,
